1.665000 	 88.795540 	 0.495577 	 
1.670000 	 88.797523 	 0.497589 	 
1.675000 	 88.799477 	 0.499601 	 
1.680000 	 88.801392 	 0.501615 	 
1.685000 	 88.803276 	 0.503629 	 
1.690000 	 88.805122 	 0.505644 	 
1.695000 	 88.806938 	 0.507659 	 
1.700000 	 88.808723 	 0.509675 	 
1.705000 	 88.810471 	 0.511692 	 
1.710000 	 88.812187 	 0.513710 	 
1.715000 	 88.813873 	 0.515728 	 
1.720000 	 88.815521 	 0.517747 	 
1.725000 	 88.817139 	 0.519767 	 
1.730000 	 88.818726 	 0.521787 	 
1.735000 	 88.820282 	 0.523808 	 
1.740000 	 88.821808 	 0.525829 	 
1.745000 	 88.823303 	 0.527852 	 
1.750000 	 88.824760 	 0.529874 	 
1.755000 	 88.826187 	 0.531898 	 
1.760000 	 88.827583 	 0.533922 	 
1.765000 	 88.828949 	 0.535947 	 
1.770000 	 88.830284 	 0.537972 	 
1.775000 	 88.831589 	 0.539998 	 
1.780000 	 88.832863 	 0.542024 	 
1.785000 	 88.834106 	 0.544051 	 
1.790000 	 88.835320 	 0.546079 	 
1.795000 	 88.836502 	 0.548107 	 
1.800000 	 88.837654 	 0.550136 	 
1.805000 	 88.838776 	 0.552165 	 
1.810000 	 88.839867 	 0.554195 	 
1.815000 	 88.840927 	 0.556226 	 
1.820000 	 88.841957 	 0.558257 	 
1.825000 	 88.842964 	 0.560288 	 
1.830000 	 88.843941 	 0.562320 	 
1.835000 	 88.844887 	 0.564353 	 
1.840000 	 88.845802 	 0.566386 	 
1.845000 	 88.846687 	 0.568420 	 
1.850000 	 88.847542 	 0.570454 	 
1.855000 	 88.848373 	 0.572488 	 
1.860000 	 88.849174 	 0.574524 	 
1.865000 	 88.849945 	 0.576559 	 
1.870000 	 88.850693 	 0.578595 	 
1.875000 	 88.851410 	 0.580632 	 
1.880000 	 88.852097 	 0.582669 	 
1.885000 	 88.852760 	 0.584707 	 
1.890000 	 88.853394 	 0.586745 	 
1.895000 	 88.853996 	 0.588784 	 
1.900000 	 88.854576 	 0.590823 	 
1.905000 	 88.855125 	 0.592862 	 
1.910000 	 88.855652 	 0.594902 	 
1.915000 	 88.856148 	 0.596942 	 
1.920000 	 88.856621 	 0.598983 	 
1.925000 	 88.857063 	 0.601025 	 
1.930000 	 88.857475 	 0.603066 	 
1.935000 	 88.857864 	 0.605109 	 
1.940000 	 88.858231 	 0.607151 	 
1.945000 	 88.858566 	 0.609194 	 
1.950000 	 88.858879 	 0.611238 	 
1.955000 	 88.859161 	 0.613282 	 
1.960000 	 88.859421 	 0.615326 	 
1.965000 	 88.859650 	 0.617370 	 
1.970000 	 88.859856 	 0.619416 	 
1.975000 	 88.860039 	 0.621461 	 
1.980000 	 88.860191 	 0.623507 	 
1.985000 	 88.860321 	 0.625553 	 
1.990000 	 88.860428 	 0.627600 	 
1.995000 	 88.860512 	 0.629647 	 
2.000000 	 88.860565 	 0.631694 	 
2.005000 	 89.028862 	 0.633742 	 
2.010000 	 89.194595 	 0.635791 	 
2.015000 	 89.357788 	 0.637839 	 
2.020000 	 89.518478 	 0.639888 	 
2.025000 	 89.676689 	 0.641937 	 
2.030000 	 89.832451 	 0.643987 	 
2.035000 	 89.985794 	 0.646037 	 
2.040000 	 90.136749 	 0.648087 	 
2.045000 	 90.285339 	 0.650138 	 
2.050000 	 90.431595 	 0.652189 	 
2.055000 	 90.575539 	 0.654241 	 
2.060000 	 90.717201 	 0.656292 	 
2.065000 	 90.856606 	 0.658344 	 
2.070000 	 90.846031 	 0.660397 	 
2.075000 	 90.983238 	 0.662450 	 
2.080000 	 91.118240 	 0.664503 	 
2.085000 	 91.251068 	 0.666556 	 
2.090000 	 91.381744 	 0.668610 	 
2.095000 	 91.510292 	 0.670664 	 
2.100000 	 91.636742 	 0.672718 	 
2.105000 	 91.761116 	 0.674773 	 
2.110000 	 91.883438 	 0.676828 	 
2.115000 	 92.003731 	 0.678883 	 
2.120000 	 92.122017 	 0.680938 	 
2.125000 	 92.238327 	 0.682994 	 
2.130000 	 92.352676 	 0.685050 	 
2.135000 	 92.465096 	 0.687107 	 
2.140000 	 92.575607 	 0.689163 	 
2.145000 	 92.684227 	 0.691220 	 
2.150000 	 92.790985 	 0.693278 	 
2.155000 	 92.895897 	 0.695335 	 
2.160000 	 92.998993 	 0.697393 	 
2.165000 	 93.100288 	 0.699451 	 
2.170000 	 93.199806 	 0.701510 	 
2.175000 	 93.297562 	 0.703568 	 
2.180000 	 93.393585 	 0.705627 	 
2.185000 	 93.487892 	 0.707686 	 
2.190000 	 93.580505 	 0.709746 	 
2.195000 	 93.671448 	 0.711806 	 
2.200000 	 93.760735 	 0.713866 	 
2.205000 	 93.848389 	 0.715926 	 
2.210000 	 93.934433 	 0.717986 	 
2.215000 	 94.018883 	 0.720047 	 
2.220000 	 94.101753 	 0.722108 	 
2.225000 	 94.183067 	 0.724169 	 
2.230000 	 94.262848 	 0.726231 	 
2.235000 	 94.341110 	 0.728292 	 
2.240000 	 94.417870 	 0.730354 	 
2.245000 	 94.493149 	 0.732416 	 
2.250000 	 94.566963 	 0.734479 	 
2.255000 	 94.639336 	 0.736541 	 
2.260000 	 94.710281 	 0.738604 	 
2.265000 	 94.779816 	 0.740667 	 
2.270000 	 94.847954 	 0.742730 	 
2.275000 	 94.914719 	 0.744794 	 
2.280000 	 94.980125 	 0.746858 	 
2.285000 	 95.044189 	 0.748922 	 
2.290000 	 95.106926 	 0.750986 	 
2.295000 	 95.168358 	 0.753050 	 
2.300000 	 95.228493 	 0.755115 	 
2.305000 	 95.287354 	 0.757180 	 
2.310000 	 95.344948 	 0.759245 	 
2.315000 	 95.401299 	 0.761310 	 
2.320000 	 95.456421 	 0.763375 	 
2.325000 	 95.510330 	 0.765441 	 
2.330000 	 95.563042 	 0.767507 	 
2.335000 	 95.614571 	 0.769573 	 
2.340000 	 95.664925 	 0.771639 	 
2.345000 	 95.714127 	 0.773705 	 
2.350000 	 95.762184 	 0.775772 	 
2.355000 	 95.809120 	 0.777838 	 
2.360000 	 95.854942 	 0.779905 	 
2.365000 	 95.899666 	 0.781972 	 
2.370000 	 95.943306 	 0.784040 	 
2.375000 	 95.985878 	 0.786107 	 
2.380000 	 96.027397 	 0.788175 	 
2.385000 	 96.067871 	 0.790243 	 
2.390000 	 96.107315 	 0.792311 	 
2.395000 	 96.145744 	 0.794379 	 
2.400000 	 96.183174 	 0.796447 	 
2.405000 	 96.219612 	 0.798516 	 
2.410000 	 96.255074 	 0.800585 	 
2.415000 	 96.289566 	 0.802653 	 
2.420000 	 96.323105 	 0.804722 	 
2.425000 	 96.355705 	 0.806792 	 
2.430000 	 96.387375 	 0.808861 	 
2.435000 	 96.418129 	 0.810930 	 
2.440000 	 96.447983 	 0.813000 	 
2.445000 	 96.476944 	 0.815070 	 
2.450000 	 96.505020 	 0.817140 	 
2.455000 	 96.532227 	 0.819210 	 
2.460000 	 96.558578 	 0.821280 	 
2.465000 	 96.584084 	 0.823351 	 
2.470000 	 96.608757 	 0.825421 	 
2.475000 	 96.632607 	 0.827492 	 
2.480000 	 96.655640 	 0.829563 	 
2.485000 	 96.677872 	 0.831634 	 
2.490000 	 96.699310 	 0.833705 	 
2.495000 	 96.719963 	 0.835777 	 
2.500000 	 96.739845 	 0.837848 	 
2.505000 	 96.758972 	 0.839920 	 
2.510000 	 96.777344 	 0.841991 	 
2.515000 	 96.794975 	 0.844063 	 
2.520000 	 96.811874 	 0.846135 	 
2.525000 	 96.828056 	 0.848207 	 
2.530000 	 96.843529 	 0.850280 	 
2.535000 	 96.858299 	 0.852352 	 
2.540000 	 96.872375 	 0.854424 	 
2.545000 	 96.885773 	 0.856497 	 
2.550000 	 96.898499 	 0.858570 	 
2.555000 	 96.910553 	 0.860643 	 
2.560000 	 96.921959 	 0.862716 	 
2.565000 	 96.932716 	 0.864789 	 
2.570000 	 96.942841 	 0.866862 	 
2.575000 	 96.952332 	 0.868936 	 
2.580000 	 96.961205 	 0.871009 	 
2.585000 	 96.969467 	 0.873083 	 
2.590000 	 96.977127 	 0.875157 	 
2.595000 	 96.984192 	 0.877230 	 
2.600000 	 96.990669 	 0.879304 	 
2.605000 	 96.996574 	 0.881379 	 
2.610000 	 97.001907 	 0.883453 	 
2.615000 	 97.006676 	 0.885527 	 
2.620000 	 97.010895 	 0.887601 	 
2.625000 	 97.014565 	 0.889676 	 
2.630000 	 97.017700 	 0.891751 	 
2.635000 	 97.020302 	 0.893825 	 
2.640000 	 97.022385 	 0.895900 	 
2.645000 	 97.023949 	 0.897975 	 
2.650000 	 97.025009 	 0.900050 	 
2.655000 	 97.025566 	 0.902125 	 
2.660000 	 97.025635 	 0.904201 	 
2.665000 	 97.025215 	 0.906276 	 
2.670000 	 97.024315 	 0.908352 	 
2.675000 	 97.022942 	 0.910427 	 
2.680000 	 97.021103 	 0.912503 	 
2.685000 	 97.018806 	 0.914579 	 
2.690000 	 97.016060 	 0.916654 	 
2.695000 	 97.012871 	 0.918730 	 
2.700000 	 97.009239 	 0.920806 	 
2.705000 	 97.005180 	 0.922883 	 
2.710000 	 97.000694 	 0.924959 	 
2.715000 	 96.995789 	 0.927035 	 
2.720000 	 96.990471 	 0.929112 	 
2.725000 	 96.984749 	 0.931188 	 
2.730000 	 96.978622 	 0.933265 	 
2.735000 	 96.972107 	 0.935341 	 
2.740000 	 96.965202 	 0.937418 	 
2.745000 	 96.957916 	 0.939495 	 
2.750000 	 96.950256 	 0.941572 	 
2.755000 	 96.942223 	 0.943649 	 
2.760000 	 96.933823 	 0.945726 	 
2.765000 	 96.925064 	 0.947803 	 
2.770000 	 96.915955 	 0.949881 	 
2.775000 	 96.906494 	 0.951958 	 
2.780000 	 96.896690 	 0.954035 	 
2.785000 	 96.886551 	 0.956113 	 
2.790000 	 96.876083 	 0.958190 	 
2.795000 	 96.865288 	 0.960268 	 
2.800000 	 96.854172 	 0.962346 	 
2.805000 	 96.842735 	 0.964424 	 
2.810000 	 96.830994 	 0.966502 	 
2.815000 	 96.818939 	 0.968580 	 
2.820000 	 96.806587 	 0.970658 	 
2.825000 	 96.793938 	 0.972736 	 
2.830000 	 96.780998 	 0.974814 	 
2.835000 	 96.767769 	 0.976892 	 
2.840000 	 96.754265 	 0.978971 	 
2.845000 	 96.740479 	 0.981049 	 
2.850000 	 96.726425 	 0.983127 	 
2.855000 	 96.712097 	 0.985206 	 
2.860000 	 96.697510 	 0.987285 	 
2.865000 	 96.682663 	 0.989363 	 
2.870000 	 96.667564 	 0.991442 	 
2.875000 	 96.652214 	 0.993521 	 
2.880000 	 96.636620 	 0.995600 	 
2.885000 	 96.620781 	 0.997679 	 
2.890000 	 96.604706 	 0.999758 	 
2.895000 	 96.588394 	 1.001837 	 
2.900000 	 96.571854 	 1.003916 	 
2.905000 	 96.555092 	 1.005995 	 
2.910000 	 96.538109 	 1.008075 	 
2.915000 	 96.520912 	 1.010154 	 
2.920000 	 96.503502 	 1.012233 	 
2.925000 	 96.485878 	 1.014313 	 
2.930000 	 96.468048 	 1.016392 	 
2.935000 	 96.450020 	 1.018472 	 
2.940000 	 96.431793 	 1.020551 	 
2.945000 	 96.413368 	 1.022631 	 
2.950000 	 96.394753 	 1.024711 	 
2.955000 	 96.375954 	 1.026791 	 
2.960000 	 96.356972 	 1.028871 	 
2.965000 	 96.337807 	 1.030950 	 
2.970000 	 96.318466 	 1.033030 	 
2.975000 	 96.298950 	 1.035110 	 
2.980000 	 96.279266 	 1.037190 	 
2.985000 	 96.259415 	 1.039271 	 
2.990000 	 96.239403 	 1.041351 	 
2.995000 	 96.219231 	 1.043431 	 
3.000000 	 96.198906 	 1.045511 	 
3.005000 	 96.178421 	 1.047592 	 
3.010000 	 96.157791 	 1.049672 	 
3.015000 	 96.137009 	 1.051752 	 
3.020000 	 96.116081 	 1.053833 	 
3.025000 	 96.095016 	 1.055913 	 
3.030000 	 96.073814 	 1.057994 	 
3.035000 	 96.052475 	 1.060075 	 
3.040000 	 96.031006 	 1.062155 	 
3.045000 	 96.009407 	 1.064236 	 
3.050000 	 95.987679 	 1.066317 	 
3.055000 	 95.965828 	 1.068398 	 
3.060000 	 95.943855 	 1.070478 	 
3.065000 	 95.921761 	 1.072559 	 
3.070000 	 95.899551 	 1.074640 	 
3.075000 	 95.877228 	 1.076721 	 
3.080000 	 95.854797 	 1.078802 	 
3.085000 	 95.832260 	 1.080883 	 
3.090000 	 95.809616 	 1.082964 	 
3.095000 	 95.786865 	 1.085046 	 
3.100000 	 95.764015 	 1.087127 	 
3.105000 	 95.741066 	 1.089208 	 
3.110000 	 95.718025 	 1.091289 	 
3.115000 	 95.694893 	 1.093371 	 
3.120000 	 95.671669 	 1.095452 	 
3.125000 	 95.648354 	 1.097533 	 
3.130000 	 95.624954 	 1.099615 	 
3.135000 	 95.601471 	 1.101696 	 
3.140000 	 95.577904 	 1.103778 	 
3.145000 	 95.554260 	 1.105859 	 
3.150000 	 95.530540 	 1.107941 	 
